,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN
4FGL J0000.3-7355,-0.67853844,0.61165106,-0.7911276,-11.801041,-12.551104,0.87271327,1.9081817,0.0919387266039848,0.7492525577545166,1.1644263,unas,0.8982876511264352,0.9045300077235375,5.463787093385028e-05,0.001624732105597178,0.002246498177609259,0.0066629218621983895,0.09874986212858734,0.08336110580714648,0.0006613506964343913,0.0038212325015201387
4FGL J0000.5+0743,-0.79894483,-0.20204343,0.97937655,-11.9500475,-12.482441,0.7219528,1.8282201,0.4544113874435425,2.549887180328369,1.4048256,unas,0.6692923349433972,0.30978618805389024,0.00913951545530493,0.045573935385695125,0.003167469445706409,0.007182555017762004,0.18383755350175124,0.5372571824201409,0.13456312665384026,0.10020013912251159
4FGL J0000.7+2530,-0.5872086,-0.3218538,0.9467894,-12.066955,-12.566535,0.62091464,0.25849342,0.3763579428195953,1.4711384773254397,1.1351491,unas,0.873685720024862,0.9445501240814993,2.9239766081871343e-05,0.002612893309505295,0.02389429594946906,0.009779587040328754,0.09856494125524734,0.04016634919451037,0.003825803004339864,0.002891046374156324
4FGL J0001.2+4741,-0.24764264,-0.41072202,0.9117606,-11.824067,-12.401375,0.67141354,2.232589,0.0121561335399746,0.0838931798934936,1.40336,bcu,0.7388464627349964,0.6154471127244474,3.898635477582846e-05,0.0015094073369097542,0.0024990633380660935,0.0035565028494530834,0.25683294094492604,0.37174868924692106,0.0017825466272358374,0.00773828784226837
4FGL J0001.2-0747,-0.9225718,0.016881336,0.9998575,-11.078877,-12.259681,1.3762573,2.0233166,0.0511820241808891,1.6977366209030151,1.6700666,bll,0.9870521296161385,0.954564623799568,3.442115111720941e-05,0.0004868807787179448,2.1367521367521368e-05,0.00650525088871406,0.012872001390091597,0.03744729262615971,2.0080321285140562e-05,0.0009959519068402291
4FGL J0001.4-0010,-0.8702812,-0.119998075,0.9927741,-11.909606,-12.503303,0.6901977,1.2744341,0.1324383467435836,0.4250232279300689,0.9672092,bll,0.7726200897901622,0.960130755997414,1.4174231565535913e-05,0.0012433823505918944,0.020587499219384017,0.008653599413282961,0.2041070425412579,0.028310203239817158,0.002671194217630524,0.001662058998893934
4FGL J0001.5+2113,-0.6450264,-0.30319086,0.95292985,-10.592458,-12.177027,1.7376146,2.867641,0.1593193858861923,8.188197135925293,3.2812462,fsrq,0.023891547049441783,0.01427819169243261,0.0010526315789473684,0.0007132258600013029,0.0,0.0003992327790279857,0.9641786283891548,0.9789949587484358,0.010877192982456138,0.005614390920102344
4FGL J0001.6+3503,-0.44947898,-0.3671201,0.9301736,-12.012348,-12.601423,0.78483194,1.4562409,0.7292646169662476,3.108683824539185,0.8866213,unas,0.6951360935719992,0.1149571806411694,0.04850877192982458,0.4498445663706742,0.005092814315635828,0.02158376814606826,0.19237971416744826,0.11825535905187967,0.058882606015091966,0.2953591257902087
4FGL J0001.6-4156,-0.9512103,0.90051883,-0.43481708,-11.448492,-12.379992,1.1965731,1.4904478,0.0727536901831626,1.5178292989730835,1.4214944,bcu,0.9797316283091956,0.9826451780878993,0.00019166594704791209,0.00037274716000989725,0.0018340681974412449,0.006486718455148651,0.018227693255311,0.010125095273881857,1.494429100409031e-05,0.00037026102306037467
4FGL J0001.8-2153,-0.97656924,0.57093287,0.82099676,-11.974237,-12.5578,0.6606822,0.5086241,0.4058078527450561,1.2849037647247314,1.3901925,bcu,0.8238008848411635,0.9354890614321456,0.0010526315789473684,0.0022964691228965135,0.028862256327532372,0.005473847852809757,0.13356696271140622,0.05412504517620346,0.012717264540950526,0.0026155764159445888
