,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN
4FGL J0000.3-7355,-0.67853844,0.61165106,-0.7911276,-11.801041,-12.551104,0.87271327,1.9081817,0.0919387266039848,0.7492525577545166,1.1644263,unas,0.9102543762621097,0.8425872694046824,0.00016993386413734947,0.0024324471256940497,0.007789223929840519,0.012092681136522442,0.07787020002279234,0.13058649611272258,0.003916265921120288,0.01230110622037836
4FGL J0000.5+0743,-0.79894483,-0.20204343,0.97937655,-11.9500475,-12.482441,0.7219528,1.8282201,0.4544113874435425,2.549887180328369,1.4048256,unas,0.6779437241914311,0.36106403149100347,0.019152251276470113,0.04084746497598881,0.0049663082553214385,0.0034817981108572317,0.1951673207521081,0.5648230889943908,0.10277039552466927,0.029783616427759608
4FGL J0000.7+2530,-0.5872086,-0.3218538,0.9467894,-12.066955,-12.566535,0.62091464,0.25849342,0.3763579428195953,1.4711384773254397,1.1351491,unas,0.7871597334729267,0.9409124196128535,0.006679535473089425,0.0016362781193070565,0.02390430255917128,0.004167066055458366,0.17174672246801687,0.05148296655857012,0.010509706026796083,0.0018012696538108573
4FGL J0001.2+4741,-0.24764264,-0.41072202,0.9117606,-11.824067,-12.401375,0.67141354,2.232589,0.0121561335399746,0.0838931798934936,1.40336,bcu,0.7464638487632365,0.6618247025258299,0.0007780799977861798,0.0010643603955685762,0.004573736904283494,0.001812513877651221,0.2413882074492114,0.3316346982845003,0.006796126885482467,0.0036637249164499994
4FGL J0001.2-0747,-0.9225718,0.016881336,0.9998575,-11.078877,-12.259681,1.3762573,2.0233166,0.0511820241808891,1.6977366209030151,1.6700666,bll,0.9770184744943043,0.958651422003673,1.581334288101205e-05,0.0005635579664424519,0.00015615248497279034,0.0018527396740988442,0.022802018199712133,0.03858567461650145,7.541478129713425e-06,0.00034660573928414344
4FGL J0001.4-0010,-0.8702812,-0.119998075,0.9927741,-11.909606,-12.503303,0.6901977,1.2744341,0.1324383467435836,0.4250232279300689,0.9672092,bll,0.8311498091404892,0.9501272312169615,2.7829313543599257e-05,0.0008171082985192562,0.009087745017675673,0.0034983693964706387,0.15806747287959977,0.04488509792072282,0.001667143648691749,0.0006721931673255492
4FGL J0001.5+2113,-0.6450264,-0.30319086,0.95292985,-10.592458,-12.177027,1.7376146,2.867641,0.1593193858861923,8.188197135925293,3.2812462,fsrq,0.01686638658997614,0.01054126122855396,0.0,0.00039339705677854636,0.0,0.00021239685543451248,0.9757651923573923,0.9844295358553247,0.00736842105263158,0.004423409003908351
4FGL J0001.6+3503,-0.44947898,-0.3671201,0.9301736,-12.012348,-12.601423,0.78483194,1.4562409,0.7292646169662476,3.108683824539185,0.8866213,unas,0.668115697098006,0.15707628919108005,0.04558222316567613,0.5147583322973662,0.007521848472388882,0.020160643187829074,0.22187099241503477,0.16593577426760042,0.0569092388488942,0.1420689610561244
4FGL J0001.6-4156,-0.9512103,0.90051883,-0.43481708,-11.448492,-12.379992,1.1965731,1.4904478,0.0727536901831626,1.5178292989730835,1.4214944,bcu,0.9652957466620185,0.9702323722050434,0.00041608928232837413,0.000559637436729069,0.005078724210981914,0.01653293376614843,0.02883746246593901,0.01183425571754593,0.00037197737873243073,0.000840800874533172
4FGL J0001.8-2153,-0.97656924,0.57093287,0.82099676,-11.974237,-12.5578,0.6606822,0.5086241,0.4058078527450561,1.2849037647247314,1.3901925,bcu,0.7305150841088874,0.9006124825664953,0.0056349833604914384,0.0027415145372656088,0.025785497332176686,0.00525826950280355,0.1923320469113416,0.08659982902545578,0.04573238828710273,0.00478790436797957
4FGL J0002.1-6728,-0.7542911,0.64392245,-0.76509076,-11.621635,-12.456538,1.1896977,1.1658882,0.1867902427911758,3.089015007019043,1.0979762,bll,0.9449006829951726,0.9500787528870914,0.008766518195327718,0.0023784284765590484,0.0037121195370659987,0.029869885063558064,0.03347880392666377,0.014718313027164425,0.009141875345770002,0.0029546205456270004
4FGL J0002.1+6721c,0.08610353,-0.47260436,0.8812747,-11.20882,-11.759376,0.88912845,2.4486878,0.2591685950756073,3.5366370677948,1.0175134,unk,0.06742492595124179,0.16292472661667867,0.2631447368421053,0.1301949123498169,0.12038596491228071,0.11321210049113235,0.23784449760765547,0.3188156738032358,0.31119987468671684,0.27485258673913626
4FGL J0002.3-0815,-0.92618895,0.016694205,0.99986064,-11.877679,-12.450634,0.7075903,1.7012931,0.1468686908483505,1.1791139841079712,1.1144179,bcu,0.8849229391222598,0.8712442425829185,0.004281465629973825,0.002543620920763824,0.003566370101320538,0.003092251570871881,0.10679138453745174,0.12082864170106222,0.0004378406089938524,0.0022912432243837196
4FGL J0002.4-5156,-0.895238,0.76603854,-0.64279467,-12.047088,-12.626592,0.6588973,0.49868953,0.3689867258071899,1.863142251968384,1.2476373,bcu,0.78236065869496,0.8766199980954724,0.006689047091246899,0.0054418737277944435,0.030734408083300843,0.02245316445319384,0.13293455963077813,0.08333111008340702,0.047281326499714296,0.012153853640132179
4FGL J0002.7+7220,0.17071296,-0.48799303,0.87284756,-11.436711,-11.941861,0.70265585,2.1686323,0.1408838182687759,1.2504560947418213,1.1472638,spp,0.34050541464026807,0.4882380086935205,0.0640656707358489,0.00801335695022547,0.14449526911643146,0.007674093155949185,0.2313563470537421,0.4704183748274659,0.2195772984537094,0.025656166372838768
4FGL J0002.8+6217,-0.0008907481,-0.45896608,0.8884538,-10.725477,-11.841858,1.5096259,2.1487226,0.3958846628665924,11.000743865966797,1.119458,psr,0.018947368421052633,0.0040243492762952115,0.26191387559808615,0.385666382051538,0.03157894736842106,0.09726083925352295,0.008421052631578947,0.005480142696553485,0.6791387559808613,0.5075682867220902
4FGL J0003.1-5248,-0.8893282,0.7545938,-0.65619224,-11.4025345,-12.404053,1.2547604,1.7436543,0.0473734512925148,1.1180731058120728,0.9030045,bcu,0.9741146925264187,0.8818321583709533,0.00039871342344246667,0.0016985972028373323,0.002451680065703268,0.09913877095846703,0.022659736291020208,0.014044481401741596,0.00037517769341518305,0.003285992066000908
4FGL J0003.2+2207,-0.6344715,-0.31628725,0.9486635,-12.194722,-12.793191,0.7116791,-1.1464918,0.9998927116394044,3.038246154785156,1.095234,bll,0.586623112755486,0.6621987655780468,0.10593750000000002,0.05138352616641228,0.060265689269508316,0.013169342106721401,0.20976240950629196,0.23793691648057747,0.03741128846871386,0.03531144966824205
4FGL J0003.3+2511,-0.5935802,-0.33185875,0.9433291,-11.769421,-12.373468,0.8887443,2.0880826,0.3420576155185699,2.5568552017211914,0.8883198,unas,0.3730072572097837,0.39233048169865425,0.05959326561635698,0.11126662501949315,0.014924133447129067,0.027923509439565387,0.356381978769501,0.38305985148621363,0.19609336495722926,0.08541953235607344
4FGL J0003.3-1928,-0.9726989,0.41948724,0.9077612,-11.492386,-12.364031,1.2196093,2.0928702,0.2337499260902404,3.7529330253601074,1.6979259,bcu,0.492258694087037,0.4543972416797113,0.08084742422688264,0.029271094169547093,0.00877828485852401,0.0061697707804662045,0.3449791934259373,0.494089569616259,0.07313640340161905,0.016072323754016262
4FGL J0003.3-5905,-0.8383461,0.6976536,-0.71643525,-11.839406,-12.568083,0.8394665,2.2856634,-0.0060784863308072,0.0877118706703186,1.0063869,bcu,0.7560899374267318,0.7068047452768699,0.0004001334252444514,0.003427798380207617,0.0015272536802681997,0.023229420692798777,0.2347030996338432,0.2397814196501275,0.0072795758339124165,0.02675661599999618
4FGL J0003.5+0717,-0.8056576,-0.21803728,0.97594047,-12.092559,-12.60303,0.6892598,1.2529342,0.4647964835166931,2.2953402996063232,1.0394844,bcu,0.8151107922571382,0.6675363349012954,0.01805771019422613,0.047897110353071454,0.011831364817288647,0.007919840396889328,0.11129393087498282,0.25759941209966786,0.043706201856364174,0.0190473022490761
4FGL J0003.6+3059,-0.51162297,-0.35844105,0.9335524,-11.680469,-12.539204,1.1196585,1.3266795,0.6645426154136658,5.067807197570801,0.7069715,unas,0.050098772160513075,0.011578505052040467,0.7987940213370375,0.8927861437933498,0.008070175438596491,0.012884765089950985,0.0545494484710072,0.0063494906925018,0.08848758259284575,0.07640109537215675
4FGL J0003.9-1149,-0.94594455,0.09418794,0.99555445,-11.626077,-12.426563,1.0989056,1.8849317,0.2019716501235962,2.867600679397583,0.8667596,bll,0.8207030386302254,0.678115020291992,0.019386109972724306,0.08184338617134719,0.0043433608903779225,0.050949343228207065,0.1490030580396288,0.15996372428302966,0.00656443246704347,0.029128526025424102
4FGL J0004.0+5715,-0.08755331,-0.44660884,0.8947293,-11.439145,-12.088621,0.9396978,2.2691855,0.1528328210115432,2.222075700759888,1.1007618,unas,0.43783348324575905,0.4581458909999081,0.07696107719237494,0.023679771232330737,0.023299627646385667,0.02842099120822895,0.3315123912600684,0.43940580960240905,0.13039342065541196,0.050347536957123046
4FGL J0004.0+0840,-0.7922667,-0.23337711,0.9723863,-11.938751,-12.573407,0.86310637,0.6622148,0.4375789761543274,2.824425458908081,1.184856,bll,0.850022543319594,0.8692918543477856,0.0075838727669759465,0.010892078246186484,0.005641472507367594,0.008559018294428573,0.10456990605937773,0.10717923351270313,0.032182205346684915,0.004077815598896424
4FGL J0004.3+4614,-0.27320227,-0.41451803,0.9100411,-11.287408,-12.18457,1.0569503,2.596615,0.1397493481636047,2.7210958003997803,2.1431296,fsrq,0.017486402486402486,0.01728404625698173,0.0,0.00024536798794845446,0.0011111111111111111,0.00015017428441395578,0.9791802641802643,0.9808678301202307,0.0022222222222222222,0.0014525813504251842
