,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN,6_RF,6_NN
4FGL J0000.3-7355,-0.67853844,0.61165106,-0.7911276,-11.801041,-12.551104,0.87271327,1.9081817,0.0919387266039848,0.7492525577545166,1.1644263,unas,0.33625333017369363,0.337229106734446,0.618179533221266,0.6042713215224238,0.03487093511356418,0.048463432874474896,0.0048076967324841595,0.00549000699178867,0.00019768016631733286,0.0017135667810827735,0.005690824592674609,0.0028325650957841428
4FGL J0000.5+0743,-0.79894483,-0.20204343,0.97937655,-11.9500475,-12.482441,0.7219528,1.8282201,0.4544113874435425,2.549887180328369,1.4048256,unas,0.3507530808109799,0.12303065066694487,0.5372426906782505,0.6820599636040294,0.0759309289266719,0.18224521146559916,0.027532202371157187,0.005448580048492468,0.0053937508318816834,0.006097658505499212,0.003147346381058573,0.0011179357094349967
4FGL J0000.7+2530,-0.5872086,-0.3218538,0.9467894,-12.066955,-12.566535,0.62091464,0.25849342,0.3763579428195953,1.4711384773254397,1.1351491,unas,0.22037173126566753,0.2924191781492088,0.7142685541381009,0.6826368908397094,0.056402050764674194,0.0197416725451162,0.003338302667043826,0.002596184852571566,0.002867547629080743,0.0010917427857238236,0.002751813535432928,0.0015143308276702374
4FGL J0001.2+4741,-0.24764264,-0.41072202,0.9117606,-11.824067,-12.401375,0.67141354,2.232589,0.0121561335399746,0.0838931798934936,1.40336,bcu,0.19727079451487545,0.12093864267031541,0.6534070693298349,0.794956719228779,0.12591907437992217,0.07564605145637122,0.020639489807542315,0.005963985828139368,0.0006598715573880328,0.0007269796749358322,0.002103700410437037,0.0017676211414589423
4FGL J0001.2-0747,-0.9225718,0.016881336,0.9998575,-11.078877,-12.259681,1.3762573,2.0233166,0.0511820241808891,1.6977366209030151,1.6700666,bll,0.8853362695359854,0.8959647141449718,0.10389370442541791,0.04576346238272262,0.010584097892770405,0.05629440843194834,0.0,0.00022272260214314596,8.30432507451141e-05,0.0005112449893653507,0.00010288489508093514,0.001243447448848773
4FGL J0001.4-0010,-0.8702812,-0.119998075,0.9927741,-11.909606,-12.503303,0.6901977,1.2744341,0.1324383467435836,0.4250232279300689,0.9672092,bll,0.36420623973516936,0.5594790337429432,0.5447997572329638,0.41153260674828723,0.08389143682599086,0.026588013056173698,0.0020851653905128776,0.0008840694981304454,0.00013317203738418343,0.0009136769369495181,0.004884228777978895,0.0006026000175159495
4FGL J0001.5+2113,-0.6450264,-0.30319086,0.95292985,-10.592458,-12.177027,1.7376146,2.867641,0.1593193858861923,8.188197135925293,3.2812462,fsrq,0.013243764172335597,0.007849671685382099,0.03961654135338346,0.020905440176573142,0.937956021004893,0.9703352665795152,0.0,0.00010425996220481418,0.009183673469387754,0.00031353828715176106,0.0,0.0004918233091729858
4FGL J0001.6+3503,-0.44947898,-0.3671201,0.9301736,-12.012348,-12.601423,0.78483194,1.4562409,0.7292646169662476,3.108683824539185,0.8866213,unas,0.25073293975165367,0.06612930822611729,0.6192951121690465,0.6510949154735481,0.08483096903915124,0.05639703883388855,0.03267111849307032,0.07269633892847394,0.009341070527677053,0.13578650608408419,0.003128790019401074,0.01789589245388798
4FGL J0001.6-4156,-0.9512103,0.90051883,-0.43481708,-11.448492,-12.379992,1.1965731,1.4904478,0.0727536901831626,1.5178292989730835,1.4214944,bcu,0.8693997688305498,0.8548882010522107,0.11846984036671239,0.12947951516919887,0.010195207530005511,0.012003183657216067,0.0,0.0009746100590263253,0.0015447251185186598,0.0006921762963896634,0.00039045815421356823,0.0019623137659583074
4FGL J0001.8-2153,-0.97656924,0.57093287,0.82099676,-11.974237,-12.5578,0.6606822,0.5086241,0.4058078527450561,1.2849037647247314,1.3901925,bcu,0.26745959123089347,0.40128159421764326,0.6507374950520701,0.5542867696706741,0.07099867536516015,0.04007559209204291,0.004171143034652972,0.0017161854368347089,0.0013180379838922222,0.0017571515860639742,0.005315057333331086,0.0008827069967410969
4FGL J0002.1-6728,-0.7542911,0.64392245,-0.76509076,-11.621635,-12.456538,1.1896977,1.1658882,0.1867902427911758,3.089015007019043,1.0979762,bll,0.7216080967937507,0.7515649606540276,0.2282246062004405,0.22445822787899117,0.013514254695450449,0.014787083994505297,0.003792313880809456,0.0016265427767103034,0.02919916313632891,0.003788289521704806,0.0036615652932199694,0.003774895174060959
4FGL J0002.1+6721c,0.08610353,-0.47260436,0.8812747,-11.20882,-11.759376,0.88912845,2.4486878,0.2591685950756073,3.5366370677948,1.0175134,unk,0.01920639557304789,0.019238178355771126,0.5693256250304816,0.5352038906466579,0.053566396250872554,0.044736844033787075,0.16735044635440047,0.22331286062710223,0.091878967644719,0.05454535430863078,0.0986721691464786,0.12296287202805105
4FGL J0002.3-0815,-0.92618895,0.016694205,0.99986064,-11.877679,-12.450634,0.7075903,1.7012931,0.1468686908483505,1.1791139841079712,1.1144179,bcu,0.4506494344747414,0.47922476927149116,0.48241065805259886,0.45444044965536723,0.05049709850783092,0.06323149584388066,0.007528935367908439,0.0011704290668654437,0.006310901219992129,0.0013646544085133931,0.0026029723769283204,0.0005682017538821301
4FGL J0002.4-5156,-0.895238,0.76603854,-0.64279467,-12.047088,-12.626592,0.6588973,0.49868953,0.3689867258071899,1.863142251968384,1.2476373,bcu,0.11271879858612151,0.2818856682497786,0.8565922093836178,0.6838555852044838,0.017204335782207873,0.027724861819651014,0.00952978249944027,0.003474449314670394,0.001953281255896449,0.0011864098828439232,0.0020015924927160155,0.0018730255285723148
4FGL J0002.7+7220,0.17071296,-0.48799303,0.87284756,-11.436711,-11.941861,0.70265585,2.1686323,0.1408838182687759,1.2504560947418213,1.1472638,spp,0.0788085994855302,0.05009691147079602,0.5358180302160912,0.848811509863285,0.03983955381679508,0.04282638887869104,0.22449639178026942,0.04112268481925635,0.06403877756360102,0.004194784560579157,0.05699864713771298,0.012947720407392513
4FGL J0002.8+6217,-0.0008907481,-0.45896608,0.8884538,-10.725477,-11.841858,1.5096259,2.1487226,0.3958846628665924,11.000743865966797,1.119458,psr,0.015714285714285712,0.0033689425628884336,0.007380952380952381,0.011944718492000326,0.008571428571428572,0.0041176087351463275,0.05023809523809524,0.03837244596521827,0.21778195488721802,0.2825980865787305,0.7003132832080201,0.6595981976660161
4FGL J0003.1-5248,-0.8893282,0.7545938,-0.65619224,-11.4025345,-12.404053,1.2547604,1.7436543,0.0473734512925148,1.1180731058120728,0.9030045,bcu,0.9026866874718967,0.888356443415049,0.07759808643966964,0.09177810505184944,0.01067153191036568,0.011870961705409164,0.0,0.000979098228770514,0.006685340802987862,0.0013395763378157516,0.0023583533750800158,0.005675815261106096
4FGL J0003.2+2207,-0.6344715,-0.31628725,0.9486635,-12.194722,-12.793191,0.7116791,-1.1464918,0.9998927116394044,3.038246154785156,1.095234,bll,0.19010668320551738,0.16934497687729566,0.6323753505393931,0.7772971456275997,0.06620356237282465,0.022958213442516875,0.018871693808062123,0.014275430654496638,0.08954844007818223,0.006130463327989963,0.0028942699960204806,0.009993770070101268
4FGL J0003.3+2511,-0.5935802,-0.33185875,0.9433291,-11.769421,-12.373468,0.8887443,2.0880826,0.3420576155185699,2.5568552017211914,0.8883198,unas,0.19690213403719917,0.18025348253393594,0.5939463078025891,0.6292270621951552,0.13555399708494592,0.14662708709995573,0.056518456940854375,0.013658392350361308,0.00936754229638781,0.02420301024939256,0.007711561838023679,0.006030965571199256
4FGL J0003.3-1928,-0.9726989,0.41948724,0.9077612,-11.492386,-12.364031,1.2196093,2.0928702,0.2337499260902404,3.7529330253601074,1.6979259,bcu,0.4275107217446359,0.3482298806020373,0.31510179437528985,0.27412572769526106,0.16329568147012294,0.36605838636788274,0.003256302521008403,0.002207365826868238,0.08511093668236525,0.007799443129691895,0.0057245632065775955,0.0015791963782587502
4FGL J0003.3-5905,-0.8383461,0.6976536,-0.71643525,-11.839406,-12.568083,0.8394665,2.2856634,-0.0060784863308072,0.0877118706703186,1.0063869,bcu,0.2866012707321866,0.3242211413868682,0.5930852894307195,0.5762014045875369,0.10751885646460861,0.08834356509858624,0.00932403038142239,0.006326095982847871,0.0019358467472403763,0.00236346880414249,0.0015347062438225624,0.002544324140018238
