,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN,6_RF,6_NN
4FGL J0000.3-7355,-0.67853844,0.61165106,-0.7911276,-11.801041,-12.551104,0.87271327,1.9081817,0.0919387266039848,0.7492525577545166,1.1644263,unas,0.6134618127630765,0.6219740671540543,0.0018989490408046915,0.002019013442368813,7.285974499089253e-06,0.00037844324652193027,0.001973866666272644,0.006160210182190833,0.04380433950208852,0.044942533221451635,0.3388537460532583,0.32452573275341245
4FGL J0000.5+0743,-0.79894483,-0.20204343,0.97937655,-11.9500475,-12.482441,0.7219528,1.8282201,0.4544113874435425,2.549887180328369,1.4048256,unas,0.554183233157243,0.6711621630029202,0.028355671058944414,0.016655980442653356,0.0,0.0009456137090785587,0.006480732474821017,0.004291903758888588,0.07412944959156978,0.18292790714447746,0.3368509137174219,0.12401643194198171
4FGL J0000.7+2530,-0.5872086,-0.3218538,0.9467894,-12.066955,-12.566535,0.62091464,0.25849342,0.3763579428195953,1.4711384773254397,1.1351491,unas,0.7627205351008571,0.7313083401147894,0.0032243007249318483,0.001689357779849923,0.0,0.0002521117895413558,0.0015047248126902615,0.003510059757920268,0.030264953583424015,0.01293177259514367,0.2022854857780967,0.2503083579627553
4FGL J0001.2+4741,-0.24764264,-0.41072202,0.9117606,-11.824067,-12.401375,0.67141354,2.232589,0.0121561335399746,0.0838931798934936,1.40336,bcu,0.649171775543068,0.7730830340695938,0.005654048175241163,0.0015426917353250657,6.571313738510468e-05,0.00037803082364318605,0.01634955834072641,0.0070622888451526596,0.1305047093990209,0.07172623208340989,0.19825419540455835,0.14620772244287547
4FGL J0001.2-0747,-0.9225718,0.016881336,0.9998575,-11.078877,-12.259681,1.3762573,2.0233166,0.0511820241808891,1.6977366209030151,1.6700666,bll,0.1085696920295112,0.04870105499032363,0.0002032595530500193,0.0003984877066791343,0.0,3.235710753741108e-05,4.328740043025757e-05,0.0004945452955721638,0.010637402344228133,0.05690409865123012,0.8805463586727803,0.8934694562486577
4FGL J0001.4-0010,-0.8702812,-0.119998075,0.9927741,-11.909606,-12.503303,0.6901977,1.2744341,0.1324383467435836,0.4250232279300689,0.9672092,bll,0.556234558194523,0.4200385639103466,0.004757739901239572,0.0011726902080930557,0.0,0.00012993897268573067,0.00024796303816346536,0.000841203291725976,0.07300714532065435,0.021786200843967006,0.36575259354541956,0.5560314027731816
4FGL J0001.5+2113,-0.6450264,-0.30319086,0.95292985,-10.592458,-12.177027,1.7376146,2.867641,0.1593193858861923,8.188197135925293,3.2812462,fsrq,0.033095238095238094,0.028122567622103658,0.0,0.0006411960002787396,0.0,0.00022023138104865906,0.0014285714285714286,0.00020975702541748727,0.956904761904762,0.9638457288826174,0.008571428571428572,0.006960519088533929
4FGL J0001.6+3503,-0.44947898,-0.3671201,0.9301736,-12.012348,-12.601423,0.78483194,1.4562409,0.7292646169662476,3.108683824539185,0.8866213,unas,0.6607618795229077,0.5941808482933382,0.02196618368341994,0.20372779269443017,2.9281045751633984e-05,0.011673341495493891,0.013916816994479782,0.05164265044848324,0.06738325325364174,0.058322538995441035,0.23594258549979913,0.0804528280728134
4FGL J0001.6-4156,-0.9512103,0.90051883,-0.43481708,-11.448492,-12.379992,1.1965731,1.4904478,0.0727536901831626,1.5178292989730835,1.4214944,bcu,0.10957960243237354,0.1006020030867145,8.903296824608301e-05,0.00037513664334647975,0.0,5.9717300485176865e-05,3.70943477326456e-05,0.001346774717911934,0.009242475113753064,0.010002974554252773,0.8810517951378946,0.8876133936972893
4FGL J0001.8-2153,-0.97656924,0.57093287,0.82099676,-11.974237,-12.5578,0.6606822,0.5086241,0.4058078527450561,1.2849037647247314,1.3901925,bcu,0.6757226612056535,0.5770866817651487,0.004016078466025652,0.002460181247309631,0.0,0.00025708199994186844,0.0005212976954017723,0.0029473637290790195,0.0562208651893865,0.023373946211252137,0.2635190974435327,0.39387474504726866
