,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN,6_RF,6_NN,7_RF,7_NN,8_RF,8_NN,9_RF,9_NN
4FGL J0000.3-7355,-0.67853844,0.61165106,-0.7911276,-11.801041,-12.551104,0.87271327,1.9081817,0.0919387266039848,0.7492525577545166,1.1644263,unas,0.015756473179649635,0.009546457054257657,0.32447519321808027,0.31409013515495865,0.6088503346060944,0.6171874292389475,0.0009260052098833182,0.0016368649980800355,0.036651489277949784,0.048919844370763986,0.007285104488968633,0.004758270103560278,9.600395975641065e-05,0.001505146937792694,0.004845859085055246,0.00127303666264293,0.0011135369745622972,0.0010828154789962491
4FGL J0000.5+0743,-0.79894483,-0.20204343,0.97937655,-11.9500475,-12.482441,0.7219528,1.8282201,0.4544113874435425,2.549887180328369,1.4048256,unas,0.0031227590959790053,0.006078883794748799,0.3446745178688703,0.11200707840818498,0.5351348427447846,0.6801816035352642,0.010064442972266305,0.002544880939223614,0.07551894897359611,0.1837436916190186,0.025080834328378133,0.005775505455347432,0.0054137768862786125,0.007610884392387355,0.0009481800217971651,0.0019010840938274336,4.1697108049885646e-05,0.00015638776199776748
4FGL J0000.7+2530,-0.5872086,-0.3218538,0.9467894,-12.066955,-12.566535,0.62091464,0.25849342,0.3763579428195953,1.4711384773254397,1.1351491,unas,0.0007824205443452045,0.00550156894918876,0.2172026792437667,0.28560618286790673,0.723420980590926,0.6849469038703805,0.019015605819119024,0.0013186626692089688,0.029147819428996528,0.017234636481667457,0.004596091500930186,0.0028575785634390883,0.0033637151079647025,0.0011504803661583605,0.0024066880824728906,0.00077003612109246,6.399968147884824e-05,0.0006139501109578966
4FGL J0001.2+4741,-0.24764264,-0.41072202,0.9117606,-11.824067,-12.401375,0.67141354,2.232589,0.0121561335399746,0.0838931798934936,1.40336,bcu,0.004094210377069415,0.007063174059851371,0.18480760916967742,0.12573174740273113,0.6680402201739978,0.7820407664170819,0.0008657027422536107,0.00218253958555527,0.11827287573908325,0.07134559063156926,0.02253400503656507,0.00824579514704787,0.0010431734102911746,0.0010709197934681387,9.755502239835839e-05,0.0014944642519292045,0.0002446483286638044,0.0008250027107659006
4FGL J0001.2-0747,-0.9225718,0.016881336,0.9998575,-11.078877,-12.259681,1.3762573,2.0233166,0.0511820241808891,1.6977366209030151,1.6700666,bll,0.009414477042275821,0.014638894297416803,0.9055149858737037,0.8797640302751102,0.0788691067927904,0.04832549502386797,0.0002711618178648553,0.0011968650925916597,0.004325117591346682,0.05366112278608546,0.0,0.0002472707400202027,1.287001287001287e-05,0.000583728558013855,5.714285714285715e-05,0.000157926879929433,0.0015351380120056722,0.001424666346964572
4FGL J0001.4-0010,-0.8702812,-0.119998075,0.9927741,-11.909606,-12.503303,0.6901977,1.2744341,0.1324383467435836,0.4250232279300689,0.9672092,bll,0.00918036301636956,0.006920479764368556,0.40027178261503427,0.5463752752959499,0.5050692576597313,0.4184911508940498,0.0018145475015822557,0.0008794571259558087,0.07345752275063086,0.02431727932584828,0.0038156979357540843,0.0012025243559647442,8.329185332669653e-05,0.0009615135986361219,0.0017926255347291543,0.0003365428705610685,0.0045149111328418295,0.000515776768665699
4FGL J0001.5+2113,-0.6450264,-0.30319086,0.95292985,-10.592458,-12.177027,1.7376146,2.867641,0.1593193858861923,8.188197135925293,3.2812462,fsrq,0.007857142857142858,0.0054962609287121916,0.010224027106482635,0.006677788675791876,0.024039006324065745,0.020128729527340575,0.06720188075230092,0.011388542119027107,0.8806779429600079,0.954452763843036,0.0,0.0002864339864494517,0.008571428571428572,0.0006078400626846848,0.0014285714285714286,0.0006751062191012385,0.0,0.0002865346378567416
4FGL J0001.6+3503,-0.44947898,-0.3671201,0.9301736,-12.012348,-12.601423,0.78483194,1.4562409,0.7292646169662476,3.108683824539185,0.8866213,unas,0.0010839685663542665,0.006882691306940268,0.26171805178975877,0.07172361524690976,0.6065682535853709,0.6590931594976205,0.010710692747585855,0.0030386410690144195,0.07156669388521184,0.06121870251202828,0.03064668680957119,0.06609925940492427,0.011763980955406468,0.11430168442206236,0.00575258601816874,0.015462476256484163,0.00018908564257184921,0.0021797702840159095
4FGL J0001.6-4156,-0.9512103,0.90051883,-0.43481708,-11.448492,-12.379992,1.1965731,1.4904478,0.0727536901831626,1.5178292989730835,1.4214944,bcu,0.003364027982167987,0.007128225049588659,0.8922943315859732,0.8525496809188504,0.09294748752848668,0.1266455139616066,0.004093163186610042,0.0005303683324990846,0.006862558109474207,0.009540873160978021,6.03318250377074e-06,0.0006688489718772182,7.383908954029028e-05,0.0007160736663858538,0.0,0.00038528605945109095,0.000358559335243736,0.0018351298787631356
4FGL J0001.8-2153,-0.97656924,0.57093287,0.82099676,-11.974237,-12.5578,0.6606822,0.5086241,0.4058078527450561,1.2849037647247314,1.3901925,bcu,0.008485446208439777,0.006503805821546371,0.2494534406932393,0.38397551780731226,0.6652229807784873,0.5766206209305199,0.011871664643234211,0.001347889573419291,0.054648402579429226,0.02822451111918877,0.004158866693591601,0.0016898543664320015,0.0025138004519692655,0.0009319586215600562,0.0035164931210256768,0.00047863628470107695,0.00012890483058376954,0.00022720547532031985
4FGL J0002.1-6728,-0.7542911,0.64392245,-0.76509076,-11.621635,-12.456538,1.1896977,1.1658882,0.1867902427911758,3.089015007019043,1.0979762,bll,0.011109911473165977,0.009606987821286063,0.6830584505675329,0.7180086470292553,0.24886510535888798,0.25073209492508947,6.650284022546796e-05,0.0009190836287499847,0.02575988558053822,0.013928373072319145,0.005454545454545454,0.0013638920676156039,0.02021398114081041,0.002533710627108316,0.0,0.0007892920317366111,0.00547161758429364,0.002117918796839589
4FGL J0002.1+6721c,0.08610353,-0.47260436,0.8812747,-11.20882,-11.759376,0.88912845,2.4486878,0.2591685950756073,3.5366370677948,1.0175134,unk,0.002909891276375284,0.006982129286976662,0.01041695923280519,0.011824846763208661,0.5527208062592993,0.5204055640544224,0.0009045887993256415,0.003463179656166493,0.05452975468503554,0.038100310849202665,0.17708682985320964,0.26420919043436614,0.09269389280816806,0.0474296378826602,0.07549361745526732,0.08650098829239568,0.03324365963051394,0.02108415278060138
