Source_Name,Closest_Searched_source,Distance (arcmin),RA_search,DEC_search
4FGL J0009.2+6847,P72Y0024,14.982971740633593,2.0325,68.5639
4FGL J0034.6+6438,P72Y0106,101.68341186227796,9.7124,63.0091
4FGL J0204.7+6656,P86Y0534,249.45622060924913,35.7246,63.2404
4FGL J0235.3+5650," 1FGL J0251.5+5634",128.94588579384052,42.71607,56.52201
4FGL J0736.9-3231,1FGLJ0747.4-3303,137.17193300010686,116.881,-33.076
4FGL J0752.0-2931,1FGLJ0747.4-3303,220.74148725650463,116.881,-33.076
4FGL J0828.4-4444,NMS0418,125.66793723688774,125.86083,-42.844
4FGL J0848.8-4328,J0845.5-4327c,26.9749822583431,131.6,-43.4
4FGL J0853.6-4306,J0845.5-4327c,81.35401342730788,131.6,-43.4
4FGL J0857.7-4256,J0845.5-4327c,127.47088977459407,131.6,-43.4
4FGL J0859.2-4729,P72Y1310,40.88400607156979,135.4024,-46.9413
4FGL J0859.3-4342,J0845.5-4327c,141.55834516439688,131.6,-43.4
4FGL J0900.5-4434,P72Y1310,141.9516650903175,135.4024,-46.9413
4FGL J0901.1-4456,P72Y1310,119.63742953695555,135.4024,-46.9413
4FGL J0917.9-4755,P72Y1316,147.82821589985366,135.8657,-48.4513
4FGL J1026.2-5731,J1018.6-5856,105.5237060338755,154.626,-58.963
4FGL J1037.8-5810,ASO0225,108.28868611871276,161.29625,-59.7195
4FGL J1046.7-6010,ASO0225,29.529065565675996,161.29625,-59.7195
4FGL J1048.5-5923,ASO0225,32.21948821958231,161.29625,-59.7195
4FGL J1127.9-6158,J1112.1-6041c,138.2294818173345,168.0,-60.7
4FGL J1208.0-6900,J1145-6822,127.51434937375615,176.429166667,-68.3775
4FGL J1216.8-5955,J1213.7-6240c,162.1837452203582,183.4,-62.6
4FGL J1244.3-6233,J1306.4-6038,192.63521369300173,196.6,-60.7
4FGL J1257.0-6339,J1306.4-6038,189.03676914083425,196.6,-60.7
4FGL J1309.1-6223,J1306.4-6038,103.59797967672704,196.6,-60.7
4FGL J1312.3-6257,J1306.4-6038,142.1082653476412,196.6,-60.7
4FGL J1312.6-6231,J1306.4-6038,118.31408624854316,196.6,-60.7
4FGL J1317.5-6316,J1306.4-6038,173.38471793092486,196.6,-60.7
4FGL J1325.3-5413,2FGLJ1324.4-5411,2.9946146175723225,201.3125,-54.18697
4FGL J1351.6-6142,J1350.8-6212c,44.174288762738264,207.4,-62.4
4FGL J1403.5-6236,J1350.8-6212c,97.15040374435515,207.4,-62.4
4FGL J1427.8-6051,J1350.8-6212c,287.495666393268,207.4,-62.4
4FGL J1444.9-5939,J1503.4-5805c,177.93115156018112,226.0,-58.0
4FGL J1510.1-5750,J1503.4-5805c,50.15150141598478,226.0,-58.0
4FGL J1534.0-5232,P7R42268,141.83005680162785,229.612488,-52.565838
4FGL J1536.8-4327,J1517-4446,222.89695813645523,229.375,-44.7688888889
4FGL J1538.0-4638,ASO0334,189.99860558608452,234.11,-49.79681
4FGL J1547.4-4802,1FGLJ1536.5-4949,150.83773937781015,234.145833333,-49.8183333333
4FGL J1548.1-4416,NMS0805,177.5190699089686,241.13708,-44.712
4FGL J1610.3-5154,1FGL J1614.7-5138c,44.35676952132081,243.654,-51.582
4FGL J1611.9-5125,1FGL J1614.7-5138c,26.864647481313966,243.654,-51.582
4FGL J1613.0-5102,J1613.6-5100c,19.30326189203548,243.6,-50.8
4FGL J1616.6-5341,J1614.7-5138c,125.9601107846694,243.8,-51.6
4FGL J1616.6-5009,J1613.6-5100c,44.39455699788315,243.6,-50.8
4FGL J1620.8-4958,J1622.9-5008c,20.37721609806803,245.7,-50.1
4FGL J1622.7-4934,NMS0819,16.54156100714387,245.27292,-49.509
4FGL J1634.0-4742,ASO0358,19.59587887940332,248.88125,-47.482
4FGL J1636.9-4710,J1635.7-4715c,14.552125379174166,249.5,-47.0
4FGL J1639.8-4642,NMS0842,2.3428266453585858,249.99583,-46.74
4FGL J1640.3-4917,P72Y2550,106.06034074780995,249.0458,-47.6587
4FGL J1649.3-4441,J1652.8-4350c,65.55107284396195,253.2,-43.8
4FGL J1651.7-4359,J1652.8-4350c,16.26234810612392,253.2,-43.8
4FGL J1653.2-4349,J1652.8-4350c,4.613785573350621,253.2,-43.8
4FGL J1704.8-4030,J1714.5-3830c,166.68049606312493,258.7,-38.5
4FGL J1711.0-3002,P7R42606G,50.94356407414234,258.468,-29.454
4FGL J1714.8-3849,J1714.5-3830c,19.173603137704767,258.7,-38.5
4FGL J1714.9-3324,J1715-3324,0.6010094656638246,258.75,-33.4122222222
4FGL J1721.3-5257,J1721-5255,2.561908336868792,260.295833333,-52.9230555556
4FGL J1721.7-3917,J1714.5-3830c,93.95671954908747,258.7,-38.5
4FGL J1729.1-3503,J1717.9-3729c,194.51686764100947,259.5,-37.4
4FGL J1737.3-3332,J1743.5-3314,64.48892888150328,265.6,-33.3
4FGL J1739.3-2531,S966-1277,2.5782782969484956,264.8779,-25.5048
4FGL J1740.7-2640,1FGL J1738.5-2656,32.70563196399918,264.6488,-26.9368
4FGL J1742.8-2246,S966-1277,170.4038423353235,264.8779,-25.5048
4FGL J1743.7-4321,J1743-4322,1.9198347623790848,265.966666667,-43.3816666667
4FGL J1744.7-1557,P7R42709A,167.35056223242827,265.993,-13.179
4FGL J1747.0-3505,J1743.5-3314,122.57810691217895,265.6,-33.3
4FGL J1748.3-2906,NMS0915,34.64268100570012,266.4514,-28.9785
4FGL J1754.6-2933,1FGL J1747.6-2820c,117.12620623914731,266.9183,-28.3354
4FGL J1757.4-3125,EMS1171,152.65646424363564,266.7,-32.6061111111
4FGL J1801.6-2326,NMS0931,3.740456842981704,270.359,-23.453
4FGL J1804.4-0852,2FGLJ1805.0-0845,11.428737310634812,271.2703,-8.7524
4FGL J1808.4-3358,P7R42794,1.1472608874636492,272.097,-33.963
4FGL J1808.5-3701,J1759-3849,153.62191814389885,269.808333333,-38.8227777778
4FGL J1809.2-2726,1FGL J1754.5-2537c,225.15998963627155,268.6423,-25.6204
4FGL J1814.7-3420,P7R42794,82.31609276348952,272.097,-33.963
4FGL J1815.8-1416,NMS0958,78.3305354296101,275.305,-14.459
4FGL J1818.6-3206,P7R42830B,24.44093724366263,275.103,-32.286
4FGL J1819.9-2926,J1812-3144,165.69585823359017,273.208333333,-31.7358333333
4FGL J1819.9-1530,24M2244,8.194941728121798,274.8494,-15.5202
4FGL J1832.4-0847,NMS0973,27.211771675983435,278.56,-8.78
4FGL J1834.7-0724,NMS0975,28.73597779109324,279.005,-7.056
4FGL J1836.8-2354,1FGL J1829.3-2423,107.04131661781732,277.3273,-24.3837
4FGL J1847.2-0141,NMS0987,20.918255954135255,282.153,-1.622
4FGL J1851.5+0718,6YJ1857+0755_2,96.97625894815117,284.3958,7.9261
4FGL J1852.6+0203,NMS0992,64.44912227010722,284.024,1.416
4FGL J1855.2+0456,3FGLJ1857.9+0355_1,72.95308632908657,284.4875,3.9278
4FGL J1858.0+0354,3FGLJ1857.9+0355_3,2.0784916406046983,284.4875,3.9278
4FGL J1900.4+0339,3FGLJ1900.8+0337_1,5.393331858361437,285.2042,3.6231
4FGL J1900.7+0426,NMS0994,38.500244965861654,284.696,4.033
4FGL J1901.1+0730,1FGL J1904.4+0703,55.605906572545734,286.114,7.059
4FGL J1902.2+0448," 1FGL J1902.3+0503c",12.90179559073703,285.5647,5.022986
4FGL J1902.5+0654,1FGL J1904.4+0703,29.39178180965171,286.114,7.059
4FGL J1908.7+0812,PSR_J1906+0722,59.371840934820185,286.62916667,7.382
4FGL J1912.5+1320,3FGLJ1919.9+1407,117.11944136148595,289.9792,14.1178
4FGL J1912.7+0957,NMS1008,57.04990033510585,287.7583,9.1015
4FGL J1926.4+1602,1FGL J1926.1+1601c,4.450230477991874,291.549,16.0228
4FGL J1929.0+1729,1FGL J1929.0+1741c,12.477994484540144,292.2646,17.6981
4FGL J1931.1+1656,1FGL J1930.8+1653c,5.399669793744772,292.7126,16.8862
4FGL J1953.5+3841,P7R43071,115.85478589261243,296.039,39.325
4FGL J2027.0+2811,3FGL_J2026.8+2831,0.6758068367886962,306.77916667,28.19
4FGL J2038.4+4212,1FGL J2040.0+4157c,23.173985835447183,310.0154,41.9533
4FGL J2051.7+5051,P86Y4812,0.5231783672479827,312.9319,50.8454
